[2021-05-31T23:04:39,719][INFO ][o.e.n.Node               ] [] version[7.10.2], pid[9680], build[unknown/unknown/unknown/unknown], OS[Mac OS X/10.16/x86_64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/11.0.6/11.0.6+8-LTS]
[2021-05-31T23:04:39,723][INFO ][o.e.n.Node               ] [] JVM home [/Library/Java/JavaVirtualMachines/jdk-11.0.6.jdk/Contents/Home]
[2021-05-31T23:04:39,729][INFO ][o.e.n.Node               ] [] JVM arguments [-Des.path.home=eshome, -Des.path.conf=eshome/config, -Xms512m, -Xmx512m, -Dlog4j2.disable.jmx=true, -Djava.security.policy=eshome/config/elasticsearch.policy, -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=53412:/Applications/IntelliJ IDEA.app/Contents/bin, -Dfile.encoding=UTF-8]
[2021-05-31T23:04:51,001][INFO ][o.e.p.PluginsService     ] [] loaded module [aggs-matrix-stats]
[2021-05-31T23:04:51,002][INFO ][o.e.p.PluginsService     ] [] loaded module [analysis-common]
[2021-05-31T23:04:51,002][INFO ][o.e.p.PluginsService     ] [] loaded module [constant-keyword]
[2021-05-31T23:04:51,002][INFO ][o.e.p.PluginsService     ] [] loaded module [flattened]
[2021-05-31T23:04:51,002][INFO ][o.e.p.PluginsService     ] [] loaded module [frozen-indices]
[2021-05-31T23:04:51,002][INFO ][o.e.p.PluginsService     ] [] loaded module [ingest-common]
[2021-05-31T23:04:51,003][INFO ][o.e.p.PluginsService     ] [] loaded module [ingest-geoip]
[2021-05-31T23:04:51,003][INFO ][o.e.p.PluginsService     ] [] loaded module [ingest-user-agent]
[2021-05-31T23:04:51,003][INFO ][o.e.p.PluginsService     ] [] loaded module [kibana]
[2021-05-31T23:04:51,003][INFO ][o.e.p.PluginsService     ] [] loaded module [lang-expression]
[2021-05-31T23:04:51,003][INFO ][o.e.p.PluginsService     ] [] loaded module [lang-mustache]
[2021-05-31T23:04:51,004][INFO ][o.e.p.PluginsService     ] [] loaded module [lang-painless]
[2021-05-31T23:04:51,004][INFO ][o.e.p.PluginsService     ] [] loaded module [mapper-extras]
[2021-05-31T23:04:51,004][INFO ][o.e.p.PluginsService     ] [] loaded module [mapper-version]
[2021-05-31T23:04:51,004][INFO ][o.e.p.PluginsService     ] [] loaded module [parent-join]
[2021-05-31T23:04:51,004][INFO ][o.e.p.PluginsService     ] [] loaded module [percolator]
[2021-05-31T23:04:51,005][INFO ][o.e.p.PluginsService     ] [] loaded module [rank-eval]
[2021-05-31T23:04:51,005][INFO ][o.e.p.PluginsService     ] [] loaded module [reindex]
[2021-05-31T23:04:51,005][INFO ][o.e.p.PluginsService     ] [] loaded module [repositories-metering-api]
[2021-05-31T23:04:51,005][INFO ][o.e.p.PluginsService     ] [] loaded module [repository-url]
[2021-05-31T23:04:51,005][INFO ][o.e.p.PluginsService     ] [] loaded module [search-business-rules]
[2021-05-31T23:04:51,007][INFO ][o.e.p.PluginsService     ] [] loaded module [searchable-snapshots]
[2021-05-31T23:04:51,007][INFO ][o.e.p.PluginsService     ] [] loaded module [spatial]
[2021-05-31T23:04:51,007][INFO ][o.e.p.PluginsService     ] [] loaded module [transform]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [transport-netty4]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [unsigned-long]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [vectors]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [wildcard]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-analytics]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-async]
[2021-05-31T23:04:51,008][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-async-search]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-autoscaling]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-ccr]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-core]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-data-streams]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-deprecation]
[2021-05-31T23:04:51,009][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-enrich]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-eql]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-graph]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-identity-provider]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-ilm]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-logstash]
[2021-05-31T23:04:51,010][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-ml]
[2021-05-31T23:04:51,011][INFO ][o.e.p.PluginsService     ] [] loaded module [x-pack-monitoring]
